asin,collection,category,size,inch,item_name
B0BNKYW3,Swirl Egg-Shell,Mattress Toppers,Full,2,Swirl Egg-Shell Mattress Toppers Full size 2 inch
B0BG2PD3,Victoria,Mattress,Full,8,Victoria Mattress Full size 8 inch
B09MR4Z3,Bamboo charcoal,Mattress,Full,10,Bamboo charcoal Mattress Full size 10 inch
B09MR4Z3,Bamboo charcoal,Mattress,Full,12,Bamboo charcoal Mattress Full size 12 inch
B0B31Y1F,Bamboo charcoal,Mattress,Twin,6,Bamboo charcoal Mattress Twin size 6 inch
B0BRCW79,Anula,Mattress,Queen (U.S. Standard),6,Anula Mattress Queen (U.S. Standard) size 6 inch
B0BT4YQS,Cashmere/Isabella,Mattress,Full,14,Cashmere/Isabella Mattress Full size 14 inch
B0B31SM3,Bamboo charcoal,Mattress,Queen (U.S. Standard),14,Bamboo charcoal Mattress Queen (U.S. Standard) size 14 inch
B0BRCXXB,Anula,Mattress,Full,6,Anula Mattress Full size 6 inch
B0B69DD2,Victoria,Mattress,Queen (U.S. Standard),10,Victoria Mattress Queen (U.S. Standard) size 10 inch
B0B69GN5,Victoria,Mattress,Twin XL,12,Victoria Mattress Twin XL size 12 inch
B0BNL3Y4,Bamboo Charcoal,Mattress Toppers,Full,2,Bamboo Charcoal Mattress Toppers Full size 2 inch
B0BRCYQN,Anula,Mattress,Twin,6,Anula Mattress Twin size 6 inch
B09X1HV1,Elizabeth,Mattress,Twin XL,6,Elizabeth Mattress Twin XL size 6 inch
B0BNL64P,Bamboo Charcoal,Mattress Toppers,King,4,Bamboo Charcoal Mattress Toppers King size 4 inch
B09MR3Y2,Bamboo charcoal,Mattress,Full,8,Bamboo charcoal Mattress Full size 8 inch
B0BNLBQN,Bamboo Charcoal,Mattress Toppers,King,3,Bamboo Charcoal Mattress Toppers King size 3 inch
B09KDRMR,Elizabeth,Mattress,King (U.S. Standard),10,Elizabeth Mattress King (U.S. Standard) size 10 inch
B09X1HV1,Elizabeth,Mattress,Twin XL,6,Elizabeth Mattress Twin XL size 6 inch
B09KDZQJ,Elizabeth,Mattress,Twin,8,Elizabeth Mattress Twin size 8 inch
B09KTJRH,Innerspring,Mattress,Full,6,Innerspring Mattress Full size 6 inch
B0BRCYQN,Anula,Mattress,Twin,6,Anula Mattress Twin size 6 inch
B0BRCXQR,Anula,Mattress,Twin,8,Anula Mattress Twin size 8 inch
B0B31T1X,Bamboo charcoal,Mattress,Full,14,Bamboo charcoal Mattress Full size 14 inch
B0BRCYQN,Anula,Mattress,Twin,6,Anula Mattress Twin size 6 inch
B09MR4B1,Bamboo charcoal,Mattress,Twin,8,Bamboo charcoal Mattress Twin size 8 inch
B09KDQ2B,Elizabeth,Mattress,Full,12,Elizabeth Mattress Full size 12 inch
B0BG2T78,Victoria,Mattress,Twin XL,8,Victoria Mattress Twin XL size 8 inch
B0B69DD2,Victoria,Mattress,Queen (U.S. Standard),10,Victoria Mattress Queen (U.S. Standard) size 10 inch
B0B31Y1F,Bamboo charcoal,Mattress,Twin,6,Bamboo charcoal Mattress Twin size 6 inch
