ad_id,asin
449441946565.00,B0BNKYW3
694260356487.00,B0BG2PD3
738455095347.00,B09MR4Z3
1395328686549.00,B09MR4Z3
2111755397775.00,B0B31Y1F
2394803854607.00,B0BRCW79
5159169218420.00,B0BT4YQS
5187882220385.00,B0B31SM3
5548583891528.00,B0BRCXXB
5594807297499.00,B0B69DD2
5839950479686.00,B0B69GN5
5978714852725.00,B0BNL3Y4
6254226954031.00,B0BRCYQN
6553258047678.00,B09X1HV1
6725204121745.00,B0BNL64P
7329757661388.00,B09MR3Y2
7758677560601.00,B0BNLBQN
8217833654932.00,B09KDRMR
8397862529790.00,B09X1HV1
8727291028615.00,B09KDZQJ
9346421846379.00,B09KTJRH
9506843947500.00,B0BRCYQN
9579626790817.00,B0BRCXQR
10127002286180.00,B0B31T1X
10283923247892.00,B0BRCYQN
11051515742885.00,B09MR4B1
11123065328566.00,B09KDQ2B
11318404744659.00,B0BG2T78
11326506467096.00,B0B69DD2
11441830116604.00,B0B31Y1F
12114073337096.00,B0BNL5N2
12275653911108.00,B0BG2QXQ
12276008763022.00,B09KDN7P
12761087718580.00,B0BG2Z8C
13060532333084.00,B0BNKYZD
13132492009908.00,B0BNKXC5
13348008467454.00,B09X1GMW
13362566347470.00,B0BRCX2K
13602204077433.00,B0BNKY2Y
14594444913669.00,B0BRCXCX
15383041598690.00,B09MR4G7
15548563456172.00,B0BRCXQR
15941212402138.00,B0BRCXJ1
16021305746278.00,B09X1GMW
16814563601852.00,B09MR3XT
17072753995467.00,B0BSLVXH
17105582084202.00,B0BG2PD3
17117781751148.00,B0BG2PD3
17373891336094.00,B0BRCXQM
17653287085595.00,B0BNL4NX
17946727903124.00,B09MR56Q
17992730849777.00,B0B31V3P
18396722800665.00,B0BNL3NZ
18571204791082.00,B09MR3Y2
19724115883616.00,B0BRCXST
20559201374978.00,B09MR36M
21241553923400.00,B0BRCXQM
21560842051251.00,B0B69SF1
21598869125382.00,B0BNKYZD
21948054462401.00,B09KTMKD
21997026647967.00,B0BNKY2Y
22915941114384.00,B0BNL5BK
23138164930095.00,B0BNL4CB
23335004420210.00,B0BT51RJ
23604820452154.00,B09KTFXX
24539483493557.00,B09MR3Y2
25335006416387.00,B0BRCXP7
25476972935528.00,B0BG2T78
25548150772536.00,B0BRCYJ3
25789526107426.00,B09KTMLQ
25906089535347.00,B0B31SM3
26220146418590.00,B0B31VFJ
26338629421350.00,B0BSLVXH
27186878649810.00,B09MR3RS
